sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,kt_status,status
58,M,41.72696057880034,Others,64.70593249507051,Central,Commerce,77.68717187461431,Comm&Mgmt,Yes,81.68770435951681,Mkt&HR,44.51212172576815,KT Completed,Not Placed
59,M,85.30823534041714,Central,79.05840802905725,Central,Arts,95.83854858111759,Comm&Mgmt,Yes,57.02536515542966,Mkt&Fin,82.46703870174895,No KT,Placed
60,M,77.21857308120788,Others,72.72591216441432,Central,Arts,80.5663015488611,Sci&Tech,Yes,72.14755053739664,Mkt&Fin,68.98071133290273,No KT,Placed
61,M,82.24478608595342,Others,43.73638635291314,Others,Arts,58.43433771086323,Others,Yes,78.07191889665621,Mkt&HR,93.7902550575397,No KT,Placed
62,M,52.777849690534644,Others,70.75015892621991,Central,Commerce,62.20147144856895,Comm&Mgmt,Yes,92.45218795892984,Mkt&HR,98.96080292334605,No KT,Placed
63,M,48.18228853520618,Others,88.38421703397037,Central,Commerce,73.02830662617643,Sci&Tech,Yes,72.18228743992861,Mkt&HR,63.94656103448375,KT In Progress,Not Placed
64,M,40.87267994007291,Others,67.55439265581748,Others,Arts,87.40089049359293,Others,Yes,95.93736524021257,Mkt&HR,64.92634097557965,No KT,Placed
65,M,61.03525352839582,Others,43.117394653256106,Others,Arts,59.07895308042009,Others,No,72.01871115126053,Mkt&HR,64.47775613234359,No KT,Not Placed
66,F,75.39506121127798,Others,87.17669196304199,Central,Arts,74.78386996805153,Others,Yes,77.43899296315058,Mkt&HR,59.47324658385557,No KT,Placed
67,F,63.53464270598394,Central,52.08182692815846,Others,Commerce,60.737499614584095,Comm&Mgmt,Yes,89.81428414714006,Mkt&Fin,86.90122586598385,No KT,Placed
68,M,66.24849532142375,Central,55.51725009328233,Others,Commerce,88.94616427810644,Comm&Mgmt,No,79.15338422110719,Mkt&Fin,85.53974574944365,No KT,Placed
69,F,94.2495216696249,Others,49.882381205937754,Central,Science,68.00368562607703,Comm&Mgmt,No,98.01090361914123,Mkt&HR,68.71869223303149,No KT,Placed
70,F,60.89532802139802,Others,59.81290389228985,Others,Commerce,44.603369611173115,Others,No,83.01679152570638,Mkt&Fin,42.679672982733926,No KT,Not Placed
71,F,70.83936934958865,Central,85.4050903413181,Others,Commerce,49.963151288892185,Comm&Mgmt,No,76.13547270338006,Mkt&Fin,58.5735580907844,KT Completed,Not Placed
72,F,87.01918076446859,Others,71.16315157023624,Central,Commerce,43.666280057177936,Sci&Tech,Yes,51.179598389039796,Mkt&Fin,57.53818279329025,No KT,Placed
73,M,63.79256693927621,Central,52.29287644904275,Others,Arts,69.95817676085952,Comm&Mgmt,No,70.68664487901648,Mkt&Fin,88.66523477201551,No KT,Placed
74,F,77.32520201367241,Central,92.66980468912246,Central,Commerce,46.38023784089363,Comm&Mgmt,No,64.96242096300801,Mkt&HR,45.254534404970485,No KT,Not Placed
75,M,91.74182252480472,Central,92.77491129709175,Central,Arts,46.84839815857793,Others,Yes,87.40528339437446,Mkt&Fin,88.34052274256226,No KT,Placed
76,F,96.97123741945853,Others,92.23470550276042,Others,Science,96.46289560230262,Comm&Mgmt,Yes,60.41388375767729,Mkt&Fin,80.15101913194857,No KT,Placed
77,F,48.82440885574228,Others,54.32777268289236,Others,Science,92.35930433056333,Sci&Tech,Yes,60.261004364703595,Mkt&HR,83.94648754782696,No KT,Placed
78,F,95.59525750968967,Central,67.07436065085929,Others,Arts,67.12519580868195,Others,No,59.47595216186884,Mkt&HR,65.9327912551014,KT Completed,Not Placed
79,M,69.52697758477228,Central,99.0993793684525,Central,Arts,99.14831925101234,Sci&Tech,Yes,56.280780657811796,Mkt&HR,80.78354776010549,No KT,Placed
80,F,55.4946632979375,Central,86.32074857859942,Others,Arts,40.011191690239784,Others,No,65.55035018354437,Mkt&HR,76.54173668241495,KT Completed,Not Placed
81,M,67.54814537429567,Central,41.63004527353359,Central,Commerce,76.83876737640362,Others,Yes,94.29610572217126,Mkt&Fin,86.13881171371777,No KT,Placed
82,F,98.80195451712862,Central,43.91227547562952,Others,Science,76.9856906423122,Comm&Mgmt,Yes,88.74642361529774,Mkt&HR,66.80619006809513,KT In Progress,Not Placed
83,M,69.55708563957218,Others,67.83588260873996,Others,Arts,67.4465833521933,Sci&Tech,No,86.76256081533967,Mkt&Fin,68.36953749377815,No KT,Placed
84,F,59.72509661725049,Central,94.55321235169362,Others,Commerce,63.81687837605757,Others,Yes,89.86684028249813,Mkt&Fin,78.6145733643892,KT Completed,Placed
85,M,78.00405125900355,Others,72.32210787716285,Central,Science,67.32298812883646,Comm&Mgmt,Yes,63.47089446647858,Mkt&HR,46.4846496199833,No KT,Placed
86,M,54.408737126691584,Central,69.86875048205741,Others,Commerce,64.89762616478083,Others,Yes,94.37208453762439,Mkt&HR,66.17466690185904,KT Completed,Placed
87,F,44.551799686519836,Others,46.32842199739783,Others,Science,83.82954864893796,Others,Yes,56.86516875708022,Mkt&HR,98.31705071558834,KT Completed,Placed
88,M,47.73278331463895,Others,79.40680628345764,Central,Commerce,48.12132609839704,Others,Yes,66.8172863357791,Mkt&HR,42.253139203602736,No KT,Placed
89,F,47.682750337466345,Others,89.32618963601354,Central,Science,51.85835323546781,Others,No,79.33740594836715,Mkt&HR,58.96028337198363,No KT,Not Placed
90,F,49.11416161073766,Others,62.825200450453735,Others,Science,50.83109370354542,Others,No,55.145254417100034,Mkt&HR,58.846589145362245,KT Completed,Not Placed
91,F,48.32963035896461,Others,86.53671105551965,Others,Commerce,55.748235107275875,Others,Yes,86.50650938882124,Mkt&Fin,78.00784715414636,No KT,Placed
92,F,78.45248468819287,Others,97.8685992340487,Others,Arts,71.515505126895,Comm&Mgmt,No,69.36230241017375,Mkt&Fin,46.34802156544839,No KT,Placed
93,F,50.91280506394869,Central,52.22598754766135,Central,Science,46.67252484029312,Others,No,89.22028328042,Mkt&Fin,77.71264185273166,KT Completed,Not Placed
94,F,60.740036999431794,Others,71.39977787168448,Central,Arts,92.09015771959025,Sci&Tech,No,74.64481427923013,Mkt&Fin,45.70241443909717,No KT,Not Placed
95,F,93.80730459436072,Central,57.22827748507453,Central,Commerce,57.84169187850834,Comm&Mgmt,Yes,59.043726221266816,Mkt&HR,45.69721884509986,No KT,Placed
96,F,68.43769841577235,Others,87.57126514203037,Central,Arts,49.75227924812247,Sci&Tech,Yes,86.73809056776722,Mkt&HR,83.69100143130893,No KT,Placed
97,F,80.05346431126162,Others,74.65560195286946,Others,Arts,80.53727857589459,Others,Yes,62.60719779194718,Mkt&Fin,59.448110429967784,KT Completed,Placed
98,F,50.33919227209779,Central,78.07494505301823,Central,Arts,42.285178035959156,Sci&Tech,No,74.54051506340214,Mkt&Fin,98.64537686282486,No KT,Placed
99,F,51.53734112852025,Others,87.87484957695364,Central,Arts,77.19811389244985,Others,No,53.77666345784538,Mkt&Fin,42.241176186133295,No KT,Not Placed
100,M,42.45211697598873,Central,63.75822835974729,Central,Arts,81.89190584058998,Others,Yes,80.89333272060183,Mkt&HR,66.70639982307965,No KT,Placed
101,M,50.136103784329876,Central,94.90540410442259,Others,Science,52.89499188320315,Comm&Mgmt,Yes,83.29288831081386,Mkt&HR,46.78815626044142,KT Completed,Not Placed
102,F,56.71542034191752,Central,71.9817320347684,Others,Science,42.51784440661806,Comm&Mgmt,No,68.93371049863919,Mkt&HR,61.08273800548652,No KT,Not Placed
103,F,50.62062905660481,Central,49.47728937012088,Central,Science,61.81872153516697,Others,No,97.72113901605368,Mkt&Fin,99.89334703654303,No KT,Placed
104,F,45.322152025423335,Others,81.75394709012815,Central,Commerce,45.91565381451619,Comm&Mgmt,Yes,93.70844607410342,Mkt&Fin,93.33055070431192,No KT,Placed
105,F,47.238152266036046,Others,87.59568102629527,Others,Arts,46.98867098040022,Sci&Tech,No,85.39704578699974,Mkt&HR,42.899464531323815,KT Completed,Not Placed
106,F,67.64672608196355,Central,59.0057006240516,Others,Science,55.25567388669187,Comm&Mgmt,No,85.68260372468714,Mkt&HR,73.795350629541,KT In Progress,Not Placed
107,F,52.38002310434755,Others,91.43075541992518,Others,Commerce,57.72807547760556,Comm&Mgmt,No,62.62008574710757,Mkt&Fin,78.86933828946614,No KT,Not Placed
108,F,61.85619166288453,Others,94.36859528594599,Others,Science,71.79822046128524,Sci&Tech,No,82.84076155442244,Mkt&Fin,52.572077437007536,No KT,Placed
109,F,70.20503625129142,Central,56.614269242668534,Others,Science,80.7035131301808,Comm&Mgmt,No,59.91031326177598,Mkt&HR,48.70633440378701,KT Completed,Not Placed
110,M,81.42368971776192,Others,99.01128836291332,Others,Arts,75.56625645221109,Others,No,57.20016119599111,Mkt&Fin,94.2628680799314,No KT,Placed
111,F,42.358728390465934,Central,48.442691682925506,Others,Commerce,48.901620237371006,Sci&Tech,No,99.97339471012901,Mkt&HR,98.1289864890026,No KT,Placed
112,M,87.96462393454256,Central,52.1209401041494,Others,Arts,50.32516194715758,Others,Yes,81.11879657365871,Mkt&HR,99.51357143917852,KT Completed,Not Placed
113,F,77.67402336945446,Others,51.053490354281564,Central,Arts,92.72615498757487,Sci&Tech,Yes,71.54939363285953,Mkt&Fin,87.38570642407808,KT In Progress,Not Placed
114,F,44.905541916932314,Others,93.63938260047223,Central,Science,73.50113890384682,Others,No,64.40822614419757,Mkt&Fin,79.81012416431543,No KT,Placed
115,M,92.41471744640663,Others,79.2575531394977,Central,Arts,92.19626997386135,Others,No,80.19602218311137,Mkt&Fin,60.74381513157988,No KT,Placed
116,F,95.25234403190879,Central,49.12625699333637,Central,Commerce,62.292790679192464,Comm&Mgmt,No,52.47967541100431,Mkt&HR,50.283898739485146,No KT,Not Placed
117,M,43.66467759129183,Central,66.41940510210094,Central,Arts,76.86400044587943,Others,Yes,54.734049525239755,Mkt&Fin,44.738835961973905,No KT,Placed
118,F,56.61265888883222,Others,76.91788150418813,Central,Arts,71.41980496327665,Comm&Mgmt,Yes,51.642834887019816,Mkt&Fin,81.59784811308953,KT Completed,Not Placed
119,F,88.37207678758368,Others,45.007845099362996,Others,Arts,59.147409389227754,Sci&Tech,No,74.95849166313309,Mkt&HR,87.08340491076149,KT Completed,Not Placed
120,M,84.89558142301951,Others,92.94498210444033,Others,Science,68.19492232201571,Others,Yes,80.03033145935913,Mkt&HR,89.58721914729881,KT Completed,Placed
121,F,51.07126116138264,Others,88.21621212649211,Central,Commerce,70.14945260961592,Others,No,53.12398806789104,Mkt&Fin,94.82590019822791,No KT,Placed
122,M,52.56095940020262,Central,70.31240641459829,Central,Science,52.04625848540071,Sci&Tech,No,86.06122337494583,Mkt&HR,92.79577381830242,No KT,Placed
123,F,62.22832616748292,Others,98.02759691555022,Others,Science,58.900622342603896,Sci&Tech,No,61.51975357572822,Mkt&HR,99.98447633548557,No KT,Placed
124,M,69.07137911146128,Central,65.06565875650598,Others,Science,87.48458503041854,Others,No,84.2600726884933,Mkt&HR,54.643840658035074,No KT,Placed
125,M,77.09528629181776,Central,99.04661914218987,Others,Science,94.94729436724762,Sci&Tech,No,99.09485700176228,Mkt&Fin,85.79845691273263,KT Completed,Placed
126,F,62.134818374186345,Others,80.07519992821761,Central,Science,61.587645612717964,Comm&Mgmt,No,84.55529350269256,Mkt&Fin,75.18757074248785,No KT,Placed
127,F,67.75208296798887,Others,78.0802763952365,Others,Commerce,58.418336932541095,Sci&Tech,No,94.15965264618043,Mkt&HR,55.67470794721494,No KT,Not Placed
128,M,84.8482562880254,Others,49.9572937177471,Central,Arts,51.711829874312954,Sci&Tech,Yes,97.40992533715337,Mkt&HR,98.91431933721657,No KT,Placed
129,F,42.20099217343587,Central,92.91566549827864,Central,Science,80.70947011903488,Others,No,74.33755241761577,Mkt&HR,93.87388628645513,KT In Progress,Not Placed
130,F,55.146216660641244,Others,65.6493812752369,Others,Science,59.38598209998024,Comm&Mgmt,Yes,85.11624897098534,Mkt&Fin,47.71094010664699,KT Completed,Not Placed
131,F,82.80097515307315,Others,49.734004346948765,Others,Commerce,99.2649723459513,Sci&Tech,No,92.59846267779209,Mkt&HR,41.56950053940519,KT Completed,Not Placed
132,M,93.71241026123195,Central,40.75645119854554,Central,Commerce,59.5410881238372,Comm&Mgmt,No,67.8304456437193,Mkt&HR,81.2998457399606,No KT,Placed
133,M,70.70064652693996,Others,73.58534101830296,Others,Arts,63.648162806957686,Comm&Mgmt,Yes,63.06986582801974,Mkt&Fin,76.24783773139211,No KT,Placed
134,M,71.92680911591894,Central,71.64397732736057,Others,Commerce,76.20005177272208,Comm&Mgmt,Yes,97.32992863891693,Mkt&HR,96.14893744666875,No KT,Placed
135,M,46.430320680386565,Others,83.16121734214951,Central,Arts,88.1010575914783,Others,No,86.3151750184409,Mkt&Fin,54.04031722962219,No KT,Placed
136,M,66.84474200940727,Central,93.41548318106813,Others,Science,68.17111992073802,Sci&Tech,Yes,60.98410666879131,Mkt&Fin,45.06327687369922,No KT,Placed
137,M,71.9570359873014,Others,44.76439507858177,Central,Science,65.3593620273375,Others,No,72.45416963380566,Mkt&Fin,55.552920026319185,No KT,Not Placed
138,M,54.54823021808378,Others,83.88978942042175,Central,Arts,99.7382700156885,Sci&Tech,No,89.82258847689047,Mkt&HR,41.135658430687805,No KT,Placed
139,M,56.15459385696286,Central,51.244716645854936,Others,Commerce,40.629618468396664,Sci&Tech,Yes,77.35314954592211,Mkt&HR,42.15356507133595,No KT,Placed
140,M,62.63704978627736,Central,91.49062318942984,Central,Arts,93.70391733107475,Others,Yes,82.49760490829445,Mkt&Fin,94.89146835524558,No KT,Placed
141,F,41.20427186666358,Others,89.14381083169937,Central,Commerce,48.94844955638425,Comm&Mgmt,Yes,87.68841010225262,Mkt&HR,61.120994950112696,No KT,Placed
142,M,59.3247499349907,Central,72.44762529913265,Others,Science,87.1555165725348,Comm&Mgmt,Yes,81.10045944044903,Mkt&Fin,64.64854006058084,No KT,Placed
143,F,52.68688041979268,Central,82.61456791739869,Others,Commerce,77.07589359077788,Sci&Tech,No,77.00396609610979,Mkt&HR,41.10229927228627,No KT,Placed
144,F,59.64984113067488,Central,58.861006791024906,Others,Arts,60.51083712988552,Others,Yes,87.48071421938867,Mkt&Fin,56.2313068103108,No KT,Placed
145,F,47.18572790915508,Central,68.27007393596888,Central,Arts,92.4324973312611,Comm&Mgmt,Yes,86.37815177161004,Mkt&Fin,88.28355902448587,No KT,Placed
146,M,93.4316368443937,Others,89.2982138626283,Central,Science,40.774433678859516,Comm&Mgmt,Yes,81.49362000915895,Mkt&HR,76.92945758000315,KT Completed,Placed
147,M,75.61554721324292,Others,67.55591183039283,Others,Commerce,53.60143912449542,Sci&Tech,Yes,67.98947066909648,Mkt&HR,85.22683606518493,KT Completed,Not Placed
148,M,80.74613914866939,Central,61.46789591952651,Central,Commerce,74.01356777497216,Sci&Tech,Yes,70.29060461001359,Mkt&HR,66.8328244476271,No KT,Placed
149,M,87.3502743164403,Central,69.652746835018,Others,Commerce,61.09253560298188,Others,No,98.52192744420486,Mkt&HR,58.583753305079796,No KT,Placed
150,F,69.90653193574343,Central,89.6949551462331,Others,Science,76.62264971909966,Sci&Tech,No,55.61929661457629,Mkt&Fin,68.96860559970222,No KT,Placed
151,M,45.21521728524542,Central,60.11248284225236,Central,Commerce,41.44661160452001,Comm&Mgmt,Yes,63.425245862641766,Mkt&Fin,59.38426410434507,KT Completed,Not Placed
152,M,72.22639250911287,Others,50.42569558814463,Others,Arts,46.98753582890275,Comm&Mgmt,Yes,74.62008796021678,Mkt&HR,90.33826580044408,KT Completed,Not Placed
153,M,75.21046708125274,Others,82.72084121984685,Central,Commerce,47.625774413106356,Comm&Mgmt,No,91.8364843071893,Mkt&HR,57.86042293557074,No KT,Placed
154,M,84.7263684510598,Central,89.55869276248491,Central,Science,51.35701875496056,Comm&Mgmt,Yes,58.183783186486394,Mkt&Fin,79.58581842718502,No KT,Placed
155,M,65.89957277378076,Central,46.038248711412,Others,Commerce,67.55988644803257,Others,No,63.847730906230495,Mkt&HR,48.218933338571674,No KT,Not Placed
156,F,47.65481816773382,Central,54.39244676535668,Central,Commerce,85.12772197261427,Others,No,53.28991088976195,Mkt&HR,81.2119896240946,No KT,Placed
157,M,57.026554347923465,Others,48.51831938565964,Others,Arts,94.33233027573407,Sci&Tech,Yes,85.29926330254092,Mkt&HR,94.79798269600202,No KT,Placed
158,F,61.78493778391811,Central,60.87648469493,Central,Commerce,90.12235181705476,Sci&Tech,No,61.910471773780806,Mkt&HR,76.5149892783945,No KT,Not Placed
159,M,78.75503447989607,Others,67.02105873432475,Central,Arts,51.813272306541016,Sci&Tech,Yes,69.43373753354753,Mkt&Fin,73.59132280206863,No KT,Placed
160,F,74.24669828013472,Central,84.92958021779839,Central,Arts,66.46903313383794,Others,Yes,72.1850723514834,Mkt&Fin,97.66709608129841,No KT,Placed
161,M,61.36580355387078,Others,79.06885509290045,Others,Science,51.9646958655121,Comm&Mgmt,No,94.56569678032278,Mkt&HR,77.64379331895078,KT In Progress,Not Placed
162,M,99.19091492757877,Central,77.25571404870587,Central,Arts,55.868309000031445,Sci&Tech,No,70.56651451656184,Mkt&Fin,55.573025996384956,KT Completed,Not Placed
163,F,76.34648916141323,Others,61.142496796579266,Others,Arts,70.21281889071317,Comm&Mgmt,Yes,57.26125099576245,Mkt&HR,57.543461430864426,No KT,Placed
164,F,54.233607504159664,Central,90.4868531850856,Central,Science,44.08654148341135,Sci&Tech,No,76.21574691700604,Mkt&HR,82.31839855215563,No KT,Placed
165,F,46.106948357224226,Central,68.27723004388987,Central,Arts,53.09045977559639,Sci&Tech,Yes,98.14789973243148,Mkt&HR,84.12619563353118,No KT,Placed
166,M,49.171548351059926,Central,98.74629628090926,Others,Science,96.12268967842704,Sci&Tech,No,80.38428205254056,Mkt&Fin,58.20977390734091,No KT,Placed
167,F,54.757463703070485,Others,78.04852829774421,Others,Commerce,67.96697755950933,Sci&Tech,No,99.16936102302863,Mkt&Fin,60.72063867557981,No KT,Placed
168,M,49.64088239557334,Central,47.57588449387016,Others,Science,66.72319155867234,Sci&Tech,Yes,92.05536544694351,Mkt&Fin,99.46339052434521,No KT,Placed
169,M,51.19402144307834,Others,80.57065372452604,Others,Arts,40.87402928507673,Comm&Mgmt,Yes,51.798287810670644,Mkt&Fin,46.11715297481665,KT Completed,Not Placed
